Sr No.,Utterance,speaker,emotion,Sentiment,dialogue_id,Utterance_ID,Season,Episode,StartTime,EndTime,orig_dialogue_id,utterance_de_deepl
2432,you and i we re interfacing,Ross,neutral,neutral,238,4,6,7,"00:21:33,583","00:21:36,085",239,"Du und ich, wir verschmelzen miteinander."
2433,yeah i gotta go,Janine,fear,negative,238,5,6,7,"00:21:37,546","00:21:39,297",239,"Ja, ich muss los."
2434,ba dum bumb cheshhh,Chandler,joy,positive,238,6,6,7,"00:21:45,554","00:21:46,887",239,Ba dum bumb cheshhh!
2435,david can you help me i m trying to explain to chandler how a plane stays in the air,Monica,neutral,neutral,239,0,9,23,"00:03:42,138","00:03:47,017",240,"David, kannst du mir helfen?! Ich versuche, Chandler zu erklären, wie ein Flugzeug in der Luft bleibt."
2436,oh certainly that s a combination of bernoulli s principle and newton s third law of motion,David,neutral,neutral,239,1,9,23,"00:03:47,185","00:03:53,732",240,"Oh, natürlich. Das ist eine Kombination aus Bernoullis Prinzip und Newtons drittem Gesetz der Bewegung."
2437,see,Monica,neutral,neutral,239,2,9,23,"00:03:50,188","00:03:53,732",240,Siehst du?
2438,yeah that s the same as it has something to do with wind,Chandler,fear,negative,239,3,9,23,"00:03:53,900","00:03:57,361",240,"Ja, das ist dasselbe wie ""es hat etwas mit Wind zu tun""."
2439,alright i m gonna go pick up a few things for the trip,Monica,neutral,neutral,239,4,9,23,"00:03:57,862","00:04:00,113",240,"Alles klar, ich werde ein paar Sachen für die Reise abholen gehen."
2440,oh i should go too,Phoebe,neutral,neutral,239,5,9,23,"00:04:00,281","00:04:04,868",240,"Oh, ich sollte auch gehen."
2441,oh now tomorrow do you guys wanna share a cab to the airport or should mike and i just meet you there,Phoebe,neutral,neutral,239,6,9,23,"00:04:05,036","00:04:17,506",240,"Oh, nun... wollt ihr euch morgen ein Taxi zum Flughafen teilen oder sollen Mike und ich euch einfach dort treffen."
2442,oh mike s sister just invited me to a party tonight he s gonna be there,Phoebe,anger,negative,240,0,9,22,"00:01:22,916","00:01:27,044",241,"Oh... Mikes Schwester hat mich gerade zu einer Party heute Abend eingeladen, er wird dort sein."
2443,and she was like oh don t worry,Phoebe,sadness,negative,240,1,9,22,"0:01:27,212","0:01:31,404",241,"Und sie sagte: ""Oh, mach dir keine Sorgen!"
2444,i asked him,Phoebe,neutral,neutral,240,2,9,22,"0:01:31,404","0:01:31,696",241,Ich habe ihn gefragt.
2445,he s totally ok with seeing you,Phoebe,anger,negative,240,3,9,22,"0:01:31,696","0:01:31,852",241,"Er ist total damit einverstanden, dich zu sehen!""."
2446,so now i have to go so he ll think that i m totally ok with seeing him,Phoebe,joy,positive,240,4,9,22,"00:01:31,925","00:01:35,761",241,"Also muss ich jetzt hingehen, damit er denkt, dass es mir nichts ausmacht, ihn zu sehen!"
2447,which you re not because you ve totally hung up on him,Rachel,anger,negative,240,5,9,22,"0:01:35,929","0:01:37,491",241,"Was du nicht bist, weil du total an ihm hängst!"
2448,exactly,Phoebe,neutral,neutral,240,6,9,22,"0:01:37,491","0:01:38,810",241,Ganz genau.
2449,and you re gonna want him to eat his heart out so you re gonna have to look fabulous,Rachel,neutral,neutral,240,7,9,22,"00:01:38,932","00:01:42,351",241,"Und du willst, dass er sein Herz ausschüttet, also musst du fabelhaft aussehen."
2450,i didn t even think about that aaargh,Phoebe,anger,negative,240,8,9,22,"00:01:42,519","00:01:47,689",241,"Daran habe ich gar nicht gedacht! Aaargh,"
2451,hey pheebs i m-i m taking charlie shopping why don t you come and i ll help you find something,Rachel,neutral,neutral,240,9,9,22,"00:01:48,274","00:01:54,404",241,"Hey, Pheebs, ich gehe mit Charlie einkaufen. Komm doch mit, ich helfe dir, was zu finden."
2452,ok that ll be great,Phoebe,joy,positive,240,10,9,22,"00:01:51,194","00:01:54,404",241,"Ok, das wäre toll!"
2453,oh ain t that nice the three of you trying on slutty lingerie together,Joey,disgust,negative,240,11,9,22,"00:01:54,572","00:02:00,119",241,"Oh, ist das nicht schön? Ihr drei probiert zusammen nuttige Unterwäsche an."
2454,that s not what we re gonna do,Rachel,disgust,negative,240,12,9,22,"0:02:01,079","0:02:03,749",241,"Das ist nicht das, was wir machen werden!"
2455,why would you ruin it who was that hurtin,Joey,disgust,negative,240,13,9,22,"0:02:03,749","0:02:05,578",241,"Warum solltet ihr es ruinieren, wen hat das verletzt?"
2456,julie hi chandler bing i i guess you remember me,Chandler,joy,positive,241,0,7,6,"00:14:01,090","00:14:03,383",242,"Julie hi! Chandler Bing, ich, ich denke, Sie erinnern sich an mich."
2457,hello skidmark,Julie,neutral,neutral,241,1,7,6,"00:14:03,551","00:14:06,010",242,Hallo Skidmark.
2458,it s a nickname i ll explain later,Chandler,neutral,neutral,241,2,7,6,"00:14:08,472","00:14:11,140",242,"Es ist ein Spitzname, ich werde später erklären."
2459,it s pretty clear,Monica,neutral,neutral,241,3,7,6,"00:14:11,308","00:14:13,351",242,Es ist ziemlich klar.
2460,ah uh i owe you a long overdue apology i never should have broken up with you because you were overweight,Chandler,neutral,neutral,241,4,7,6,"00:14:15,646","00:14:25,738",242,"Ah, äh, ich schulde dir eine längst überfällige Entschuldigung. Ich hätte nie mit dir Schluss machen sollen, weil du übergewichtig warst."
2461,that s why you broke up with me,Julie,surprise,negative,241,5,7,6,"00:14:23,696","00:14:25,738",242,Deswegen hast du mit mir Schluss gemacht?
2462,you-you-you didn t know that well i guess my work here is done,Chandler,sadness,negative,241,6,7,6,"00:14:29,660","00:14:35,456",242,"Du-du-du wusstest das nicht. Nun, ich denke, meine Arbeit hier ist getan!"
2489,ni-chou chi-ma,Ross,joy,positive,242,0,1,24,"00:11:55,965","00:11:57,841",243,Ni-chou chi-ma!
2490,ross excuse me pardon me excuse me,Rachel,surprise,positive,242,1,1,24,"00:11:59,260","00:12:03,179",243,"Ross! Entschuldigen Sie mich, pardon, entschuldigen Sie mich...."
2491,hi everyone,Ross,neutral,neutral,243,0,2,4,"00:11:21,347","00:11:22,972",244,Hallo zusammen.
2492,i just i wanted to thank you for our uh our little talk before,Ross,neutral,neutral,243,1,2,4,"00:11:25,976","00:11:29,270",244,"Ich wollte, ich wollte mich nur für unser, äh, kleines Gespräch vorhin bedanken."
2494,well i was going to but after i talked to you i talked to joey,Ross,neutral,neutral,243,3,2,4,"00:11:33,192","00:11:36,611",244,"Das hatte ich vor, aber nachdem ich mit dir gesprochen habe, habe ich mit Joey gesprochen."
2495,what did what did he say,Rachel,fear,negative,243,4,2,4,"00:11:41,409","00:11:43,284",244,"Was hat, was hat er gesagt?"
2496,basically he told me to get over myself and just do it ya know,Ross,neutral,neutral,243,5,2,4,"00:11:43,494","00:11:46,204",244,"Er hat mir gesagt, ich soll mich überwinden und es einfach tun, weißt du."
2497,so i though about what you said and i though about what he said and well his way i get to have sex tonight so,Ross,neutral,neutral,243,6,2,4,"00:11:46,997","00:11:52,627",244,"Also habe ich darüber nachgedacht, was du gesagt hast, und ich habe darüber nachgedacht, was er gesagt hat, und, naja, auf seine Art und Weise werde ich heute Abend Sex haben, also."
2463,oh great,Phoebe,joy,positive,244,0,7,18,"00:06:51,202","00:06:52,500",245,"Oh, toll!"
2464,we couldn t keep our eyes off each other all night and then every once and a while y know he d kinda lean over and stroke my hair and touch my neck,Phoebe,joy,positive,244,1,7,18,"00:06:51,202","00:06:59,292",245,"Ab und zu lehnte er sich zu mir rüber, streichelte mein Haar und berührte meinen Hals."
2465,okay stop it phoebe you re getting me all tingly,Monica,joy,positive,244,2,7,18,"00:06:59,460","00:07:01,503",245,"Okay, hör auf, Phoebe, du machst mich ganz kribbelig."
2466,all i could think of was y know is he gonna kiss me is he gonna kiss me,Phoebe,joy,positive,244,3,7,18,"00:07:03,131","00:07:06,216",245,"Alles, woran ich denken konnte, war: ""Wird er mich küssen? Wird er mich küssen?"""
2467,and did he,Monica,neutral,neutral,244,4,7,18,"00:07:06,384","00:07:09,136",245,Und hat er es getan?
2468,i m a lady monica i don t kiss and tell but this hickey speaks for itself,Phoebe,joy,positive,244,5,7,18,"00:07:06,384","00:07:11,638",245,"Ich bin eine Lady Monica, ich küsse und erzähle nicht. Aber dieser Knutschfleck spricht für sich selbst."
2469,okay-okay i got it i got it,Monica,neutral,neutral,244,6,7,18,"00:07:11,806","00:07:13,849",245,"Okay-okay, ich habe es. Ich habe es."
2470,i just like him so much that i just feel like i ve had 10 drinks today and i ve only had six,Phoebe,joy,positive,244,7,7,18,"00:07:14,267","00:07:19,938",245,"Ich mag ihn einfach so sehr, dass ich das Gefühl habe, heute 10 Drinks gehabt zu haben und ich hatte nur 6."
2471,oh i haven t had that feeling since i first started going out with chandler,Monica,joy,positive,244,8,7,18,"00:07:21,399","00:07:26,570",245,"Oh, dieses Gefühl hatte ich nicht mehr, seit ich mit Chandler zusammen bin."
2472,wow i m never gonna have that feeling again am i,Monica,sadness,negative,244,9,7,18,"00:07:21,399","00:07:31,283",245,"Wow, dieses Gefühl werde ich wohl nie wieder haben, oder?"
2473,you sound like a guy,Phoebe,disgust,negative,244,10,7,18,"00:07:26,863","00:07:31,283",245,Du klingst wie ein Kerl.
2474,no a guy would be saying i m never gonna get to sleep with anyone else,Monica,disgust,negative,244,11,7,18,"00:07:31,451","00:07:35,495",245,"Nein, ein Kerl würde sagen, ""Ich bin nie gonna bekommen, um mit jemand anderem zu schlafen."""
2475,oh my god,Monica,surprise,negative,244,12,7,18,"0:07:35,663","0:07:36,581",245,"Oh, mein Gott!"
2476,i m never gonna get to sleep with anyone else,Monica,sadness,negative,244,13,7,18,"0:07:36,581","0:07:38,240",245,Ich werde nie wieder mit jemand anderem schlafen!
2477,i ve been so busy planning the wedding that i forgot about all the things that i d be giving up,Monica,surprise,negative,244,14,7,18,"00:07:39,667","00:07:43,753",245,"Ich war so mit der Planung der Hochzeit beschäftigt, dass ich all die Dinge vergessen habe, die ich aufgeben würde!"
2478,i mean i i m never gonna have a first kiss again,Monica,sadness,negative,244,15,7,18,"00:07:43,921","00:07:47,924",245,"Ich meine, ich werde nie wieder einen ersten Kuss bekommen."
2479,you ll have a last kiss,Phoebe,neutral,neutral,244,16,7,18,"00:07:48,217","00:07:50,302",245,Du wirst einen letzten Kuss bekommen.
2480,thank you so much for coming back over,Ross,joy,positive,245,0,8,8,"00:17:17,119","00:17:19,162",246,"Vielen Dank, dass du wieder hergekommen bist."
2481,oh good you re here yeah and i was worried that it was going to be uncomfortable,Mona,sadness,negative,245,1,8,8,"00:17:21,582","00:17:26,377",246,"Oh gut, du bist hier. Ja, und ich habe mir Sorgen gemacht, dass es ungemütlich werden könnte."
2482,i know mona just hear me out,Rachel,neutral,neutral,245,2,8,8,"00:17:27,588","00:17:29,547",246,"Ich weiß, Mona, hör mich einfach an."
2483,first of all i m so sorry about my father yelling at you but i heard you totally held your own,Rachel,neutral,neutral,245,3,8,8,"00:17:29,798","00:17:35,595",246,"Zuerst einmal, es tut mir so leid, dass mein Vater dich angeschrien hat, aber ich habe gehört, dass du dich total gut gehalten hast."
2484,you re gonna have to tell me how you did that,Rachel,neutral,neutral,245,4,8,8,"00:17:35,763","00:17:37,555",246,"Du wirst mir sagen müssen, wie du das gemacht hast."
2485,focus,Ross,neutral,neutral,245,5,8,8,"00:17:37,723","00:17:39,974",246,Konzentrier dich.
2486,okay um but-okay yes ross and i used to date and yes we are gonna have a baby but we are,Rachel,neutral,neutral,245,6,8,8,"00:17:40,476","00:17:51,110",246,"Ok. Ähm, aber... Ja, Ross und ich waren mal zusammen. Und ja, wir werden ein Baby bekommen. Aber wir sind"
2487,all right where s that turkey,Joey,neutral,neutral,246,0,8,9,"00:20:39,780","00:20:42,531",247,"Also gut, wo ist der Truthahn?"
2488,joey those are my maternity pants,Phoebe,surprise,negative,246,1,8,9,"0:20:47,204","0:20:49,346",247,Joey! Das ist meine Umstandshose!
2489,not now these are my thanksgiving pants,Joey,joy,positive,246,2,8,9,"0:20:49,346","0:20:52,602",247,Nicht jetzt! Das sind meine Thanksgiving-Hose!
2490,no,Phoebe,neutral,neutral,247,0,8,12,"0:03:09,606","0:03:10,278",248,Nein.
2491,no,Phoebe,anger,negative,247,1,8,12,"0:03:10,278","0:03:11,090",248,Nein.
2494,oh would you look at that monica,Phoebe,joy,positive,247,3,8,12,"00:03:13,067","00:03:14,902",248,"Oh, sieh dir das an, Monica!"
2495,i just knocked off all of your top scores how sad,Phoebe,joy,positive,247,4,8,12,"00:03:15,069","00:03:17,112",248,"Ich habe gerade alle deine Top-Punkte abgeschlagen, wie traurig."
2496,okay i m next don t don t start another game i said i m next phoebe,Monica,anger,negative,247,5,8,12,"00:03:18,448","00:03:23,410",248,"Ok, ich bin die Nächste. Nein, nicht! Fang nicht noch ein Spiel an! Ich sagte, ich bin die Nächste! Phoebe!"
2497,oh i m sorry i didn t hear you over all the winning,Phoebe,joy,positive,247,6,8,12,"00:03:23,578","00:03:26,830",248,"Oh, es tut mir Leid. Ich habe dich vor lauter Gewinnen nicht gehört."
2498,chandler phoebe s hogging the game,Monica,anger,negative,247,7,8,12,"00:03:27,624","00:03:31,210",248,Chandler! Phoebe's hogging das Spiel!
2499,remember i had to leave the room the other day when you had that roast chicken,Rachel,neutral,neutral,248,0,8,9,"00:02:03,123","00:02:06,041",249,"Erinnern Sie sich, ich hatte, um den Raum zu verlassen den anderen Tag, wenn Sie das Brathähnchen hatte?"
2500,yeah but i thought that was because i put the whole thing on my hand and made it walk across the table,Joey,neutral,neutral,248,1,8,9,"00:02:06,209","00:02:14,967",249,"Ja, ja. Aber ich dachte, das war, weil ich das ganze Ding auf meine Hand und machte es über den Tisch laufen."
2501,anyway it just doesn t seem worth it to make a whole turkey for just three people okay it s a lot of work,Monica,neutral,neutral,248,2,8,9,"00:02:12,090","00:02:17,010",249,"Jedenfalls scheint es sich nicht zu lohnen, einen ganzen Truthahn für nur drei Leute zu machen. Das ist eine Menge Arbeit. Es ist eine Menge Arbeit."
2502,but you gotta have turkey on thanksgiving,Joey,joy,positive,248,3,8,9,"00:02:17,262","00:02:19,555",249,Aber du musst Truthahn an Thanksgiving haben!
2503,i mean thanksgiving with no turkey is like-like fourth of july with no apple pie,Joey,sadness,negative,248,4,8,9,"00:02:19,722","00:02:24,685",249,"Ich meine, Thanksgiving ohne Truthahn ist wie der 4. Juli ohne Apfelkuchen!"
2504,or friday with no two pizzas,Joey,sadness,negative,248,5,8,9,"00:02:24,853","00:02:28,105",249,Oder Freitag mit keine zwei Pizzen!
2505,all right fine if it means that much to you but just-there s gonna be a ton left over,Monica,sadness,negative,248,6,8,9,"00:02:29,149","00:02:32,734",249,"In Ordnung, gut! Wenn es bedeutet, dass viel für Sie! Aber nur-da wird eine Tonne übrig bleiben."
2506,no there won t i promise i will finish that turkey,Joey,joy,positive,248,7,8,9,"00:02:32,902","00:02:35,487",249,"Nein, wird es nicht! Ich verspreche, ich werde den Truthahn aufessen!"
2507,all right you re telling me you can eat an entire turkey in just one sitting,Monica,neutral,neutral,248,8,8,9,"00:02:35,697","00:02:39,616",249,"Alles klar, du willst mir erzählen, dass du einen ganzen Truthahn in einer Sitzung essen kannst?"
2508,that s right,Joey,joy,positive,248,9,8,9,"0:02:39,784","0:02:40,535",249,So ist es richtig.
2509,cause i m a tribbiani,Joey,joy,positive,248,10,8,9,"0:02:40,535","0:02:42,371",249,Denn ich bin ein Tribbiani!
2510,and this is what we do,Joey,neutral,neutral,248,11,8,9,"0:02:42,371","0:02:45,895",249,"Und das ist, was wir tun!"
2512,we can eat,Joey,joy,positive,248,13,8,9,"00:02:50,253","00:02:54,965",249,Wir können essen!
2514,wow it s huge it s so much bigger than the cubicle oh this is a cube,Phoebe,surprise,positive,249,0,1,15,"00:14:57,771","00:15:05,945",250,"Wow! Es ist riesig! Es ist so viel größer als der Würfel. Oh, das ist ein Würfel."
2515,look at this,Chandler,joy,positive,249,1,1,15,"00:15:06,113","00:15:07,780",250,Sieh dir das an!
2516,oh you have a window,Phoebe,surprise,positive,249,2,1,15,"00:15:11,285","00:15:13,661",250,Oh! Du hast ein Fenster!
2517,yes indeedy with a beautiful view of,Chandler,joy,positive,249,3,1,15,"00:15:14,496","00:15:20,335",250,"Ja, in der Tat! Mit einer schönen Aussicht auf..."
2518,oh look that guy s peeing,Phoebe,surprise,positive,249,4,1,15,"00:15:15,998","00:15:20,335",250,"Oh, schau! Der Typ pinkelt!"
2519,hi,Monica,neutral,neutral,249,5,1,15,"0:16:51,468","0:16:53,304",250,Hi!
2520,hi,Rachel,neutral,neutral,249,6,1,15,"0:16:53,304","0:16:53,521",250,Hi!
2521,y know what i cannot do this with my left hand would you please help me with this too,Rachel,anger,negative,250,0,3,21,"00:11:38,197","00:11:45,328",251,Wisst ihr was? Ich kann das nicht mit meiner linken Hand machen! Würdest du mir bitte auch dabei helfen?
2523,okay let s use this brush,Rachel,neutral,neutral,250,1,3,21,"00:11:52,211","00:11:55,422",251,"Ja, gut. Nehmen wir diese Bürste."
2524,okay this stuff,Ross,neutral,neutral,250,2,3,21,"00:11:55,000","00:11:57,632",251,Okay... Dieses Zeug?
2525,yeah,Rachel,neutral,neutral,250,3,3,21,"0:11:55,923","0:11:56,885",251,Ich weiß. Ja.
2526,all right,Ross,neutral,neutral,250,4,3,21,"0:11:56,885","0:11:57,695",251,"Ja, gut."
2527,careful light okay do you know how just sweep it across the lid okay just sweep it,Rachel,neutral,neutral,250,5,3,21,"00:11:57,800","00:12:03,596",251,"Vorsichtig. Licht. Okay, weißt du wie, einfach über den Deckel streichen. Okay? Einfach drüberstreichen."
2528,okay-dokey,Joey,sadness,negative,250,6,3,21,"00:12:02,000","00:12:03,596",251,okay-dokey
2529,where exactly is your zoo,Ross,neutral,neutral,251,0,1,21,"00:14:10,182","00:14:11,891",252,Wo genau ist Ihr Zoo?
2530,well it s technically not a zoo per se it s more of an interactive wildlife experience,Dr. Baldhara,neutral,neutral,251,1,1,21,"00:14:12,059","00:14:17,730",252,"Na ja, eigentlich ist es kein Zoo im eigentlichen Sinne, es ist eher ein interaktives Naturerlebnis."
2531,let me ask you some questions about is it uh marcel,Dr. Baldhara,neutral,neutral,251,2,1,21,"00:14:18,691","00:14:21,317",252,"Darf ich Ihnen ein paar Fragen stellen über... Ist es, äh, Marcel?"
2532,yes,Ross,neutral,neutral,251,3,1,21,"00:14:21,861","00:14:23,069",252,Ja?
2533,does he uh fight with other animals,Dr. Baldhara,neutral,neutral,251,4,1,21,"00:14:23,237","00:14:25,238",252,"Kämpft er, äh, mit anderen Tieren?"
2534,no-no he s he s very docile,Ross,neutral,neutral,251,5,1,21,"00:14:26,240","00:14:28,324",252,"Nein, nein, er ist, er ist sehr fügsam."
2535,even if he were cornered,Dr. Baldhara,neutral,neutral,251,6,1,21,"00:14:28,492","00:14:31,744",252,Selbst wenn er in die Enge getrieben würde?
2536,well i i don t know why,Ross,neutral,neutral,251,7,1,21,"00:14:34,790","00:14:37,250",252,"Nun, ich, ich weiß es nicht. Ich weiß nicht. Warum?"
2537,uh how is he at handling small objects,Dr. Baldhara,neutral,neutral,251,8,1,21,"00:14:37,418","00:14:40,461",252,Wie gut kann er mit kleinen Gegenständen umgehen?
2538,he can hold a banana if that s whatcha mean,Ross,neutral,neutral,251,9,1,21,"00:14:41,714","00:14:44,340",252,"Er kann eine Banane halten, wenn Sie das meinen..."
2539,how about a hammer or a small blade,Dr. Baldhara,neutral,neutral,251,10,1,21,"00:14:45,676","00:14:48,469",252,Wie wäre es mit einem Hammer oder einer kleinen Klinge?
2542,otherwise it s just cruel,Dr. Baldhara,neutral,neutral,251,13,1,21,"00:15:00,608","00:15:02,901",252,Sonst ist es einfach nur grausam.
2543,he- he- he got in he- he got in to san diego,Joey,joy,positive,251,14,1,21,"00:15:05,654","00:15:08,702",252,Er... er... er kam nach San Diego.
2544,we we come back from our walk and the- the phone was ringing,Joey,neutral,neutral,251,15,1,21,"00:15:09,575","00:15:12,857",252,Wir kamen von unserem Spaziergang zurück und das Telefon hat geklingelt...
2545,he s in,Chandler,neutral,neutral,251,16,1,21,"00:15:12,995","00:15:14,621",252,...er ist drin.
2546,he s in oh did you hear that marcel san diego san diego,Ross,joy,positive,251,17,1,21,"00:15:12,995","00:15:19,584",252,"Er ist drin! Er ist drin! Oh, hast du das gehört, Marcel? San Diego. San Diego!"
2547,you re making a big mistake here,Dr. Baldhara,disgust,negative,251,18,1,21,"00:15:19,752","00:15:22,879",252,Du machst hier einen großen Fehler.
2548,i mean san diego s all well and good but if you give him to me i ll start him off against a blind rabbit and give you twenty percent of the gains,Dr. Baldhara,neutral,neutral,251,19,1,21,"00:15:23,047","00:15:28,551",252,"Ich meine, San Diego ist ja schön und gut, aber wenn du ihn mir gibst, lasse ich ihn gegen einen blinden Hasen antreten und gebe dir 20 Prozent vom Gewinn."
2549,my specimen is in the room and i just want to thank whoever knocked on the door while i was in there,Chandler,neutral,neutral,252,0,9,21,"00:17:29,256","00:17:35,720",253,"Mein Exemplar ist im Zimmer und ich möchte demjenigen danken, der an die Tür geklopft hat, als ich da drin war."
2550,really helped speed the process along,Chandler,joy,positive,252,1,9,21,"00:17:35,888","00:17:38,014",253,"Das hat wirklich geholfen, den Prozess zu beschleunigen!"
2551,janice,Chandler,surprise,positive,252,2,9,21,"0:17:41,060","0:17:42,061",253,Janice!
2552,you re not gone,Chandler,surprise,positive,252,3,9,21,"0:17:42,061","0:17:43,811",253,Du bist doch nicht... weg?
2554,sid is still in his room,Janice,neutral,neutral,252,4,9,21,"00:17:44,938","00:17:46,230",253,Sid ist noch in seinem Zimmer.
2555,i don t allow porn at home so this is like a vacation for him,Janice,joy,positive,252,5,9,21,"00:17:46,398","00:17:50,777",253,"Ich erlaube keine Pornos zu Hause, also ist das wie ein Urlaub für ihn."
2556,so did you do it,Janice,surprise,positive,252,6,9,21,"0:17:52,196","0:17:53,658",253,Also hast du es getan?
2557,did you make your deposit,Janice,neutral,neutral,252,7,9,21,"0:17:53,658","0:17:55,034",253,Hast du deine Einzahlung gemacht?
2558,yeah yeah the hard part is over,Chandler,joy,positive,252,8,9,21,"00:17:55,157","00:17:59,452",253,Ja! Ja... Der schwierige Teil ist vorbei!
2559,that s not the hard part honey the hard part is what comes next i mean aren t you worried about the results,Janice,fear,negative,252,9,9,21,"00:17:59,620","00:18:04,165",253,"Das ist nicht der schwierige Teil, Schatz! Das Schwierige ist das, was jetzt kommt. Machst du dir keine Sorgen wegen der Ergebnisse?"
2560,i haven t i haven t even thought about the results yet i just assumed that everything was gonna be ok,Chandler,joy,positive,252,10,9,21,"00:18:04,374","00:18:09,337",253,"Ich habe nicht... Ich habe noch nicht mal über die Ergebnisse nachgedacht... Ich habe einfach angenommen, dass alles in Ordnung sein wird."
2561,oh well you know what it probably is,Janice,neutral,neutral,252,11,9,21,"00:18:09,505","00:18:11,798",253,"Oh! Nun, weißt du was? Das ist es wahrscheinlich auch."
2562,phoebe where s your purse,Monica,fear,negative,253,0,9,17,"00:09:52,246","00:09:54,623",254,"Phoebe, wo ist deine Handtasche?"
2563,no no give it to me,Monica,anger,negative,253,1,9,17,"00:09:57,209","00:10:00,796",254,"Nein, nein! Gib sie mir!"
2564,you can t have it,Phoebe,anger,negative,253,2,9,17,"0:09:59,003","0:10:00,715",254,Du kannst sie nicht haben.
2565,give it to me,Monica,anger,negative,253,3,9,17,"0:10:00,715","0:10:00,860",254,Gib sie mir!
2566,no,Phoebe,anger,negative,253,4,9,17,"00:10:00,963","00:10:03,049",254,Nein.
2567,i ll go in there,Monica,anger,negative,253,5,9,17,"0:10:05,176","0:10:06,358",254,Ich gehe da rein.
2568,oh yeah,Phoebe,anger,negative,253,6,9,17,"0:10:06,358","0:10:07,182",254,"Oh, ja!"
2569,phoebe come here,Monica,neutral,neutral,253,7,9,17,"00:10:07,303","00:10:08,512",254,Phoebe komm her
2570,haha,Monica,joy,positive,253,8,9,17,"00:10:13,309","00:10:14,997",254,Haha!
2571,damn you monica geller hyphen bing,Phoebe,anger,negative,253,9,9,17,"00:10:15,144","00:10:17,480",254,"Verdammt, du Monica Geller Bindestrich Bing!"
2572,what we did was wrong oh god i just had sex with somebody that wasn t alive during the bicentennial,Monica,disgust,negative,254,0,1,22,"00:12:32,084","00:12:38,965",255,"Was wir getan haben, war falsch. Oh Gott, ich hatte gerade Sex mit jemandem, der nicht am Leben war während der Zweihundertjahrfeier."
2573,i just had sex,Young Ethan,neutral,neutral,254,1,1,22,"00:12:40,718","00:12:43,094",255,Ich hatte gerade Sex.
2574,ethan focus how could you not tell me,Monica,surprise,negative,254,2,1,22,"00:12:45,181","00:12:48,516",255,"Ethan, konzentriere dich. Wie konntest du mir das verschweigen?"
2575,well you never told me how old you were,Young Ethan,neutral,neutral,254,3,1,22,"00:12:48,684","00:12:51,352",255,"Nun, du hast mir nie gesagt, wie alt du bist."
2576,well that s different my lie didn t make one of us a felon in 48 states what were you thinking,Monica,disgust,negative,254,4,1,22,"00:12:51,520","00:12:59,527",255,"Nun, das ist etwas anderes. Meine Lüge hat keinen von uns in 48 Staaten zu einem Verbrecher gemacht. Was hast du dir dabei gedacht?"
2577,i wasn t thinking i was too busy fallin,Young Ethan,joy,positive,254,5,1,22,"00:12:56,442","00:12:59,527",255,"Ich habe nicht nachgedacht. Ich war zu sehr damit beschäftigt, zu fallen..."
2578,don t say it,Monica,fear,negative,254,6,1,22,"0:12:59,695","0:13:00,747",255,Sag es nicht.
2579,in love with you,Young Ethan,joy,positive,254,7,1,22,"0:13:00,747","0:13:01,829",255,...in dich zu verlieben.
2580,really,Monica,surprise,positive,254,8,1,22,"00:13:03,365","00:13:04,783",255,Wirklich?!
2581,sorry,Young Ethan,sadness,negative,254,9,1,22,"00:13:04,950","00:13:06,951",255,Tut mir Leid.
2582,well fall out of it,Monica,anger,negative,254,10,1,22,"00:13:07,745","00:13:09,162",255,"Nun, verlieb dich nicht."
2583,you know you shouldn t even be here it s a school night,Monica,anger,negative,254,11,1,22,"00:13:09,330","00:13:12,749",255,"Weißt du, du solltest nicht einmal hier sein, es ist ein Schulabend."
2584,oh god oh god,Monica,joy,positive,254,12,1,22,"00:13:14,752","00:13:16,669",255,"Oh Gott, oh Gott."
2585,i m like those women that you see with shiny guys named chad,Monica,disgust,negative,254,13,1,22,"00:13:16,837","00:13:22,091",255,"Ich bin wie diese Frauen, die man mit glänzenden Typen namens Chad sieht."
2586,i m joan collins,Monica,disgust,negative,254,14,1,22,"00:13:24,845","00:13:27,055",255,Ich bin Joan Collins.
2587,who,Young Ethan,neutral,neutral,254,15,1,22,"00:13:29,934","00:13:31,518",255,Wer ist das?
2588,that s right still no baby come on people please make some room,Rachel,sadness,negative,255,0,8,22,"00:01:08,890","00:01:14,437",256,"Stimmt, immer noch kein Baby! Kommt schon, Leute! Bitte macht etwas Platz!"
2589,uh sweetie maybe you d be more comfortable here,Ross,neutral,neutral,255,1,8,22,"00:01:14,604","00:01:19,025",256,"Äh, Süße, vielleicht wäre es hier bequemer für dich?"
2590,you like you haven t done enough,Rachel,anger,negative,255,2,8,22,"00:01:20,193","00:01:27,408",256,Du. Als ob du nicht schon genug getan hättest.
2591,look i-i know how miserable you are i wish there was something i can do,Ross,neutral,neutral,255,3,8,22,"00:01:28,576","00:01:32,914",256,"Sieh mal, ich weiß, wie unglücklich du bist, ich wünschte, es gäbe etwas, was ich tun könnte."
2592,i mean i wish i were a seahorse,Ross,neutral,neutral,255,4,8,22,"00:01:33,081","00:01:35,208",256,"Ich meine, ich wünschte, ich wäre ein Seepferdchen."
2593,because with seahorses it s the male they carry the babies,Ross,neutral,neutral,255,5,8,22,"00:01:38,920","00:01:43,049",256,"Denn bei Seepferdchen sind es die Männchen, die die Babys austragen."
